keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,name,reviews,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
best crypto lawyers,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,1,"TOP 10 BEST Crypto Lawyer near Sherman Oaks, Los Angeles, CA ...",https://m.yelp.com/search?find_desc=Crypto+Lawyer&find_loc=Sherman+Oaks%2C+Los+Angeles%2C+CA,"I needed a lawyer after my car accident and was recommended to Peter Lee. After working with him and his group, he showed me what dedication and hard work ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,m.yelp.com,0,0,0,0,0,0,,
best crypto lawyers,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,2,Sherman Oaks Cryptocurrency Tax Expert – Audit Attorney,https://www.leadingtaxgroup.com/the-best-cryptocurrency-tax-experts/sherman-oaks/,"Leading Tax Group has some of the best crypto tax experts in Sherman Oaks, CA. Use our knowledge and experience to your advantage, and stay one step ahead ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,leadingtaxgroup.com,25,35,49,13914,832,13914,,
best crypto lawyers,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,3,"TOP 10 BEST Crypto Lawyer near Hollywood Hills West, Los ... - Yelp",https://m.yelp.com/search?find_desc=Crypto+Lawyer&find_loc=Hollywood+Hills+West%2C+Los+Angeles%2C+CA,"Best Crypto Lawyer near Hollywood Hills West, Los Angeles, CA ; Leading Tax Group. 5.0 (45 reviews) ; The Tax Law Offices of David W Klasing, PC. 4.7 (51 reviews).",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,m.yelp.com,0,0,0,0,0,0,,
lawyer to sue contractor near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,1,"Los Angeles Construction Law Lawyers | Sherman Oaks, CA ...",https://www.jdhorowitzlaw.com/Practice-Areas/Construction-Law/,For experienced legal help with a construction contract or dispute contact an experienced Los Angeles attorney at The Horowitz Law Firm: 818-528-5183.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,jdhorowitzlaw.com,17,28,2,1948,118,9531,,
lawyer to sue contractor near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,3,"Sherman Oaks Contract Dispute Lawyer - Schimmel & Parks, APLC",https://www.spattorneys.com/construction-and-real-estate-defects/contract-disputes/,"At Schimmel & Parks, APLC, we provide personalized and attentive legal counsel for construction and real estate contract disputes throughout Southern California ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,spattorneys.com,14,26,2,1340,94,12212,,
contractor attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,2,"THE BEST 10 Contract Law near SHERMAN OAKS, LOS ANGELES ...",https://m.yelp.com/search?cflt=contractlaw&find_loc=Sherman+Oaks%2C+Los+Angeles%2C+CA,"The Best 10 Contract Law near Sherman Oaks, Los Angeles, CA · Grant Shenon Law Firm · Law Office Of Melissa C Marsh · Law Offices of Benjamin N Sternberg · Law ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,m.yelp.com,0,0,0,0,0,0,,
contractor attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,3,"Los Angeles Construction Law Lawyers | Sherman Oaks, CA ...",https://www.jdhorowitzlaw.com/Practice-Areas/Construction-Law/,For experienced legal help with a construction contract or dispute contact an experienced Los Angeles attorney at The Horowitz Law Firm: 818-528-5183.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,jdhorowitzlaw.com,17,28,2,1948,118,9531,,
crypto law firm,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,1,"TOP 10 BEST Crypto Lawyer near Sherman Oaks, Los Angeles, CA ...",https://m.yelp.com/search?find_desc=Crypto+Lawyer&find_loc=Sherman+Oaks%2C+Los+Angeles%2C+CA,"Leading Tax Group - Crypto Lawyer - Sherman Oaks, Los Angeles, CA. The Tax Law Offices of David W Klasing, PC - Crypto Lawyer - Sherman Oaks. Semper Tax ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,m.yelp.com,0,0,0,0,0,0,,
crypto law firm,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,2,Stubbs Alderton & Markiles Attorneys Assist Clients With Every ...,https://stubbsalderton.com/,"Stubbs Alderton & Markiles Attorneys specialize in corporate, VC, M&A, Business Litigation, Intellectual Property, Entertainment, Public Securities.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,stubbsalderton.com,37,39,8,9657,586,143752,,
crypto law firm,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,3,Sherman Oaks Cryptocurrency Tax Expert – Audit Attorney,https://www.leadingtaxgroup.com/the-best-cryptocurrency-tax-experts/sherman-oaks/,Our cryptocurrency tax expert in Sherman Oaks has been helping investors avoid penalties and protect their assets from the IRS for years. Crypto tax laws and ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,leadingtaxgroup.com,25,35,49,13914,832,13914,,
crypto law firms,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,1,Stubbs Alderton & Markiles Attorneys Assist Clients With Every ...,https://stubbsalderton.com/,"Stubbs Alderton & Markiles Attorneys specialize in corporate, VC, M&A, Business Litigation, Intellectual Property, Entertainment, Public Securities.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,stubbsalderton.com,37,39,8,9657,586,143752,,
crypto law firms,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,2,Sherman Oaks Cryptocurrency Tax Expert – Audit Attorney,https://www.leadingtaxgroup.com/the-best-cryptocurrency-tax-experts/sherman-oaks/,Cryptocurrency tax experts based in Sherman Oaks are waiting to help you. Leading Tax Group can help you if you are going through a audit due to ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,leadingtaxgroup.com,25,35,49,13914,832,13914,,
crypto law firms,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,3,"Cryptocurrency Accounting Services - Thousand Oaks, CA Law Firm",http://www.law-grossman.com/cryptocurrency.php,"Thousand Oaks, CA Law Firm | Cryptocurrency Accounting Services Page | Law Office of Richard. Call Us Today (805) 309-2830. Cryptocurrency Accounting Services.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,law-grossman.com,2,16,-1,9,9,9,,
law firm blockchain,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,1,Stubbs Alderton & Markiles Attorneys Assist Clients With Every ...,https://stubbsalderton.com/,"SA&M is a full-service law firm with a wide range of practice areas, including mergers and acquisitions, public securities, venture capital and emerging growth.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,stubbsalderton.com,37,39,8,9657,586,143752,,
law firm blockchain,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,2,Sherman Oaks Cryptocurrency Tax Expert – Audit Attorney,https://www.leadingtaxgroup.com/the-best-cryptocurrency-tax-experts/sherman-oaks/,Our cryptocurrency tax expert in Sherman Oaks has been helping investors avoid penalties and protect their assets from the IRS for years. Crypto tax laws and ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,leadingtaxgroup.com,25,35,49,13914,832,13914,,
law firm blockchain,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,3,Bitcoin Tax Attorney in Sherman Oaks - Leading Tax Group,https://www.leadingtaxgroup.com/most-experienced-bitcoin-tax-experts/sherman-oaks/,"Leading Tax Group has offices located in Sherman Oaks, our tax attorney has plenty of Bitcoin experience and can help if you are going through a audit or need ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,leadingtaxgroup.com,25,35,49,13914,832,13914,,
cryptocurrency lawyer,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,1,"TOP 10 BEST Crypto Lawyer near Sherman Oaks, Los Angeles, CA ...",https://m.yelp.com/search?find_desc=Crypto+Lawyer&find_loc=Sherman+Oaks%2C+Los+Angeles%2C+CA,"The Tax Law Offices of David W Klasing, PC - Crypto Lawyer - Sherman Oaks ... Cryptocurrency in Los Angeles, California · Green Card Lawyer in Los Angeles ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,m.yelp.com,0,0,0,0,0,0,,
cryptocurrency lawyer,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,2,Bitcoin Tax Attorney in Sherman Oaks - Leading Tax Group,https://www.leadingtaxgroup.com/most-experienced-bitcoin-tax-experts/sherman-oaks/,"Leading Tax Group has offices located in Sherman Oaks, our tax attorney has plenty of Bitcoin experience and can help if you are going through a audit or need ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,leadingtaxgroup.com,25,35,49,13914,832,13914,,
cryptocurrency lawyer,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,3,"Cryptocurrency Attorney in Los Angeles, CA",https://dyounglaw.net/practice-areas/cryptocurrency/,Missing: Sherman Oaks,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,dyounglaw.net,17,31,6,4051,120,4903,,
crypto lawyers,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,1,"TOP 10 BEST Crypto Lawyer near Sherman Oaks, Los Angeles, CA ...",https://m.yelp.com/search?find_desc=Crypto+Lawyer&find_loc=Sherman+Oaks%2C+Los+Angeles%2C+CA,"Top 10 Best Crypto Lawyer in Los Angeles, CA - March 2025 - Yelp - Leading Tax Group, The Tax Law Offices of David W Klasing, PC, Semper Tax Relief, ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,m.yelp.com,0,0,0,0,0,0,,
crypto lawyers,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,2,Stubbs Alderton & Markiles Attorneys Assist Clients With Every ...,https://stubbsalderton.com/,"Stubbs Alderton & Markiles Attorneys specialize in corporate, VC, M&A, Business Litigation, Intellectual Property, Entertainment, Public Securities.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,stubbsalderton.com,37,39,8,9657,586,143752,,
crypto lawyers,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,3,Bitcoin Tax Attorney in Sherman Oaks - Leading Tax Group,https://www.leadingtaxgroup.com/most-experienced-bitcoin-tax-experts/sherman-oaks/,"Leading Tax Group has offices located in Sherman Oaks, our tax attorney has plenty of Bitcoin experience and can help if you are going through a audit or need ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,leadingtaxgroup.com,25,35,49,13914,832,13914,,
crypto scam lawyer,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,1,Sherman Oaks Cryptocurrency Tax Expert – Audit Attorney,https://www.leadingtaxgroup.com/the-best-cryptocurrency-tax-experts/sherman-oaks/,"In other words, it's easy to get penalized by the IRS or even be accused of fraud. An Sherman Oaks cryptocurrency tax expert from our company will keep a ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,leadingtaxgroup.com,25,35,49,13914,832,13914,,
crypto scam lawyer,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,2,"Crypto, NFT & Metaverse Lawyer - Vondran Legal",https://www.vondranlegal.com/crypto-lawyer,We can be reached at (877) 276-5084. bitcoin attorney logo. Attorney Steve Tip: Dealing with a Crypto Scam? Here is some helpful information. November 2022 ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,vondranlegal.com,36,40,1,22526,1780,149128,,
crypto scam lawyer,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,3,Bitcoin and Crypto Lawyers /Attorneys | Dilendorf Law Firm,https://dilendorf.com/blockchain-crypto/bitcoin-lawyers.html,Missing: Sherman Oaks,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,dilendorf.com,29,40,1,22121,768,30717,,
cryptocurrency solicitor,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,1,Bitcoin Tax Attorney in Sherman Oaks - Leading Tax Group,https://www.leadingtaxgroup.com/most-experienced-bitcoin-tax-experts/sherman-oaks/,"Leading Tax Group has offices located in Sherman Oaks, our tax attorney has plenty of Bitcoin experience and can help if you are going through a audit or need ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,leadingtaxgroup.com,25,35,49,13914,832,13914,,
cryptocurrency solicitor,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,2,Stubbs Alderton & Markiles Attorneys Assist Clients With Every ...,https://stubbsalderton.com/,"Stubbs Alderton & Markiles Attorneys specialize in corporate, VC, M&A, Business Litigation, Intellectual Property, Entertainment, Public Securities.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,stubbsalderton.com,37,39,8,9657,586,143752,,
cryptocurrency solicitor,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,3,Bitcoin and Crypto Lawyers /Attorneys | Dilendorf Law Firm,https://dilendorf.com/blockchain-crypto/bitcoin-lawyers.html,Missing: Sherman Oaks,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,dilendorf.com,29,40,1,22121,768,30717,,
cryptolawyers,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,1,"TOP 10 BEST Crypto Lawyer near Sherman Oaks, Los Angeles, CA ...",https://m.yelp.com/search?find_desc=Crypto+Lawyer&find_loc=Sherman+Oaks%2C+Los+Angeles%2C+CA,"Top 10 Best Crypto Lawyer in Los Angeles, CA - March 2025 - Yelp - Leading Tax Group, The Tax Law Offices of David W Klasing, PC, Semper Tax Relief, ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,m.yelp.com,0,0,0,0,0,0,,
cryptolawyers,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,2,Stubbs Alderton & Markiles Attorneys Assist Clients With Every ...,https://stubbsalderton.com/,"Stubbs Alderton & Markiles Attorneys specialize in corporate, VC, M&A, Business Litigation, Intellectual Property, Entertainment, Public Securities.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,stubbsalderton.com,37,39,8,9657,586,143752,,
