keyword,city,source_file,ranking,title,link,snippet,business_name,rating,review_count,official_website,top_3_reviews,profile_updates,attributes,product_listings,name,reviews,domain,domain_authority,page_authority,spam_score,backlinks_count,referring_domains,pages_to_domain,top_backlinks,trust_flow
blockchain law firm,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,3,Cryptocurrency Accounting Services - Richard Grossman Law Offices,https://www.law-grossman.com/cryptocurrency.php,"Thousand Oaks, CA Law Firm | Cryptocurrency Accounting Services Page | Law Office of Richard. Call Us Today (805) 309-2830. Cryptocurrency Accounting Services.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,law-grossman.com,2,16,-1,9,9,9,,
blockchain law firm,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,4,"Crypto, NFT & Metaverse Lawyer - Vondran Legal",https://www.vondranlegal.com/crypto-lawyer,"Call us for Crypto & Blockchain Disputes, Metaverse, Cyrpto Arbitration, False Advertising, Unfair Competition, and Copyright NFT Disputes.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,vondranlegal.com,36,40,1,22526,1780,149128,,
blockchain law firm,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,5,Blockchain and Cryptocurrency Attorneys in Los Angeles,https://www.romanolaw.com/business/blockchain-technologies-and-cryptocurrencies-in-los-angeles-california/,Our attorneys help innovators and investors with various legal issues presented by blockchain technologies and the complex crypto ecosystem.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,romanolaw.com,44,44,-1,6510,1950,6615,,
blockchain law firm,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,6,Blockchain & Distributed Ledger Technology (DLT),https://www.pillsburylaw.com/en/services/blockchain-distributed-ledger-dlt.html,Missing: Sherman Oaks,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,pillsburylaw.com,60,51,1,1175690,8628,2830206,,
blockchain law firm,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,7,Bitcoin and Crypto Lawyers /Attorneys | Dilendorf Law Firm,https://dilendorf.com/blockchain-crypto/bitcoin-lawyers.html,Missing: Sherman Oaks,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,dilendorf.com,29,40,1,22121,768,30717,,
blockchain law firm,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,8,Neil Elan Discusses Crypto Regulation Shift in Bloomberg Law,https://stubbsalderton.com/neil-elan-discusses-crypto-regulation-shift-in-bloomberg-law/,"Neil Elan, Partner at Stubbs Alderton & Markiles LLP, recently shared his expertise with Bloomberg Law on cryptocurrency regulation under ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,stubbsalderton.com,37,39,8,9657,586,143752,,
blockchain law firm,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,9,Cryptocurrency Tax Issues - Brotman Law - All Rights Reserved,https://www.sambrotman.com/tax-services/cryptocurrency-tax-issues/,Our team understands that the complex law surrounding cryptocurrency can be daunting. Brotman Law attorneys have studied the law to provide individuals like you ...,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,sambrotman.com,36,44,1,25608,1825,98902,,
blockchain law firm,Sherman Oaks,Crypto-HighVolume-- Sherman Oaks.xlsx,10,Crypto & Blockchain Law Firm - Oberheiden P.C.,https://federal-lawyer.com/blockchain/,"Web3, Crypto, Blockchain law firm - Our lawyers and consultants handle all blockchain and cryptocurrency matters. Free consult.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,federal-lawyer.com,40,49,1,24608,2963,253240,,
contractor fraud attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,1,Breach of Contract Attorney Los Angeles | Counts Law Firm PC,https://www.countslawfirm.com/los-angeles-business-law-attorney/breach-of-contract-fraud/,"Counts Law Firm has substantial experience resolving thousands of breach of contract, fraud, and unfair business practice cases in Los Angeles County courts.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,countslawfirm.com,20,28,1,464,125,2291,,
contractor fraud attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,2,Business Litigation - Grant Shenon,https://www.grantshenon.com/business-litigation,"IS THERE A BUSINESS FRAUD ATTORNEY NEAR ME? · Breach of contract claims · Collections · Derivative shareholder actions · Contractual and business torts, and more!",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,grantshenon.com,16,29,2,5377,192,16395,,
contractor fraud attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,3,Sherman Oaks Breach of Contract & Fraud Lawyers,https://koronpodolsky.com/services/employment-litigation/breach-of-contract-fraud/,Our Sherman Oaks attorneys are dedicated to protecting workers' rights and helping them stand up to the employers who violate them.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,koronpodolsky.com,12,23,1,163,41,2372,,
contractor fraud attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,8,Construction Attorneys Los Angeles | Counts Law Firm PC,https://www.countslawfirm.com/los-angeles-real-estate-attorney/construction-disputes/,"Our real estate construction attorneys represent homeowners, investors, contractors, architects, and material suppliers in construction disputes.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,countslawfirm.com,20,28,1,464,125,2291,,
contractor fraud attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,10,Joshua Haffner for Personal Injury Cases,https://www.haffnerlawyers.com/joshua-haffner/,"Joshua H. Haffner is a Los Angeles based lawyer dedicated in representing individuals injured or victimized by negligence, insurance bad faith, or other ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,haffnerlawyers.com,29,37,-1,5859,826,5860,,
contractor lawyer near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,1,"Los Angeles Construction Law Lawyers | Sherman Oaks, CA ...",https://www.jdhorowitzlaw.com/Practice-Areas/Construction-Law/,For experienced legal help with a construction contract or dispute contact an experienced Los Angeles attorney at The Horowitz Law Firm: 818-528-5183.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,jdhorowitzlaw.com,17,28,2,1948,118,9531,,
contractor lawyer near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,5,Los Angeles CA Construction Lawyer | California Real Estate ...,https://www.jdhorowitzlaw.com/,"For legal advice and representation with your real estate dispute or construction or surety bond matter, call 818-528-5183 or fill out the online contact form.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,jdhorowitzlaw.com,17,28,2,1948,118,9531,,
contractor lawyer near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,7,"Schimmel & Parks, APLC: Sherman Oaks Business & Civil Litigators ...",https://www.spattorneys.com/,"Schimmel & Parks, APLC, in Sherman Oaks, California handles civil cases as well as business disputes. We can help you. Call us today at 818-922-8544.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,spattorneys.com,14,26,2,1340,94,12212,,
contractor lawyer near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,8,"THE BEST 10 Contract Law near SHERMAN OAKS, LOS ANGELES ...",https://m.yelp.com/search?cflt=contractlaw&find_loc=Sherman+Oaks%2C+Los+Angeles%2C+CA,"The Best 10 Contract Law near Sherman Oaks, Los Angeles, CA · Grant Shenon Law Firm · Law Office Of Melissa C Marsh · Law Offices of Benjamin N Sternberg · Law ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,m.yelp.com,0,0,0,0,0,0,,
contractor lawyer near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,9,Construction Attorneys Los Angeles | Counts Law Firm PC,https://www.countslawfirm.com/los-angeles-real-estate-attorney/construction-disputes/,"Our real estate construction attorneys represent homeowners, investors, contractors, architects, and material suppliers in construction disputes.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,countslawfirm.com,20,28,1,464,125,2291,,
construction attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,2,"Los Angeles Construction Law Lawyers | Sherman Oaks, CA ...",https://www.jdhorowitzlaw.com/Practice-Areas/Construction-Law/,For experienced legal help with a construction contract or dispute contact an experienced Los Angeles attorney at The Horowitz Law Firm: 818-528-5183.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,jdhorowitzlaw.com,17,28,2,1948,118,9531,,
construction attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,4,Los Angeles CA Construction Lawyer | California Real Estate ...,https://www.jdhorowitzlaw.com/,"For legal advice and representation with your real estate dispute or construction or surety bond matter, call 818-528-5183 or fill out the online contact form.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,jdhorowitzlaw.com,17,28,2,1948,118,9531,,
construction attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,6,"Schimmel & Parks, APLC: Sherman Oaks Business & Civil Litigators ...",https://www.spattorneys.com/,"Schimmel & Parks, APLC, in Sherman Oaks, California handles civil cases as well as business disputes. We can help you. Call us today at 818-922-8544.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,spattorneys.com,14,26,2,1340,94,12212,,
construction attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,9,"Artemis Law Group in Sherman Oaks, CA",https://artemislawapc.com/sherman-oaks-law-firm/,"Artemis Law Group is a trusted legal partner serving clients in Sherman Oaks and the surrounding areas. Specializing in construction, real estate, and business ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,artemislawapc.com,8,21,3,400,23,930,,
construction attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,10,Construction Attorneys Los Angeles | Counts Law Firm PC,https://www.countslawfirm.com/los-angeles-real-estate-attorney/construction-disputes/,"Our real estate construction attorneys represent homeowners, investors, contractors, architects, and material suppliers in construction disputes.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,countslawfirm.com,20,28,1,464,125,2291,,
home sherman oaksvation dispute attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,3,"Artemis Law Group in Sherman Oaks, CA",https://artemislawapc.com/sherman-oaks-law-firm/,"Artemis Law Group is a trusted legal partner serving clients in Sherman Oaks and the surrounding areas. Specializing in construction, real estate, and business ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,artemislawapc.com,8,21,3,400,23,930,,
home sherman oaksvation dispute attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,4,Los Angeles HOA Lawyer | #1 HOA Attorney | LS Carlson Law,https://lscarlsonlaw.com/los-angeles-hoa-attorney,Los Angeles's leading HOA attorneys with over 15 years experience. We've won more HOA cases than any other firm nationwide. Free consultation.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,lscarlsonlaw.com,21,34,2,1531,266,6063,,
home sherman oaksvation dispute attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,6,California Real Estate Lawyer - Los Angeles - The Horowitz Law Firm,https://www.jdhorowitzlaw.com/practice-areas/,"For real estate, employment and insurance legal assistance call 818-528-5183 in Southern California to speak with an attorney at The Horowitz Law Firm.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,jdhorowitzlaw.com,17,28,2,1948,118,9531,,
home sherman oaksvation dispute attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,7,Oaks Law Firm: Los Angeles Personal Injury Lawyer,https://oakslawfirm.com/,"With offices in Sherman Oaks, Woodland Hills, and throughout California, Oaks Law Firm serves accident victims in the San Fernando Valley region and statewide.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,oakslawfirm.com,28,38,31,16405,563,16987,,
home sherman oaksvation dispute attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,8,TOP 10 BEST Residential Real Estate Attorney near Sherman Oaks ...,https://m.yelp.com/search?find_desc=Residential+Real+Estate+Attorney&find_loc=Sherman+Oaks%2C+Los+Angeles%2C+CA%2F/,"Top 10 Best Residential Real Estate Attorney in Los Angeles, CA - March 2025 - Yelp - Law Offices of Richard Jacobs, Law Offices Of Jacob Iloulian, ...",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,m.yelp.com,0,0,0,0,0,0,,
home sherman oaksvation dispute attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,9,Daniel L. Warshaw - Sherman Oaks - Super Lawyers profiles,https://profiles.superlawyers.com/california/sherman-oaks/lawyer/daniel-l-warshaw/39edbfc7-a6da-4d3e-8a1d-f7bf0b92722a.html,"Daniel Warshaw is one of the top rated Class Action & Mass Torts attorneys in Sherman Oaks, CA. He has met the stringent Super Lawyers selection criteria.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,profiles.superlawyers.com,0,0,0,0,0,0,,
home sherman oaksvation dispute attorney near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,10,Haffner Law: Personal Injury Attorney in Sherman Oaks,https://www.haffnerlawyers.com/,"As a dedicated personal injury attorney, we focus in handling insurance claims, ensuring our clients receive the compensation they deserve.",,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,haffnerlawyers.com,29,37,-1,5859,826,5860,,
construction accident lawyers near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,1,Los Angeles Construction Accident Lawyers | Priority Law Group,http://www.prioritylawgroup.com/personal-injury/construction-accidents/,Call (877) 975-2529 for an experienced attorney to protect your rights and maximize compensation for your injuries. We represent victims in Sherman Oaks & the surrounding LA area.,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,prioritylawgroup.com,12,24,1,128,55,1454,,
construction accident lawyers near me,Sherman Oaks,Construction-LongTail -- Sherman Oaks.xlsx,2,Sherman Oaks Construction Accident Lawyer - Free Consultation,https://www.barrylawgroup.com/sherman-oaks-construction-accident-lawyer/,Sherman Oaks Construction Accident Lawyer at Barry Law Group helps injured workers recover damages. Protect your rights. Contact us today!,,,,,,,"{'type': None, 'hours': None, 'phone': None}",,,,barrylawgroup.com,20,27,1,451,190,1364,,
